what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.html.core,1.1.502.v201202091936,"org.eclipse.wst.html.core",1492788727904
started,bundle,org.eclipse.wst.css.core,1.1.501.v201111292150,"org.eclipse.wst.css.core",1492788730634
started,bundle,org.eclipse.jst.jsf.facelet.core,1.0.100.v201104191527,"org.eclipse.jst.jsf.facelet.core",1492788737810
started,bundle,org.eclipse.jst.jsf.common.runtime,1.1.0.v20100510,"org.eclipse.jst.jsf.common.runtime",1492788738013
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1492788770773
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1492788770789
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.garbagecollector",1492788770889
started,bundle,org.eclipse.jst.jsf.facesconfig,1.2.2.v201105031140,"org.eclipse.jst.jsf.facesconfig",1492788775224
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492788776175
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492788860010
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492788862038
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1492788862537
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492788864674
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1492788865595
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1492788865938
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1492788866219
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1492788866484
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.navigate.openResource",1492788866531
started,bundle,org.eclipse.jpt.jpa.ui,3.0.2.v201201243020,"org.eclipse.jpt.jpa.ui",1492788867123
started,bundle,org.eclipse.jpt.common.ui,1.0.1.v201201260000,"org.eclipse.jpt.common.ui",1492788867155
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492788869807
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492788872880
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492788873941
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1492788873972
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1492788874065
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492788876452
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492788911833
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492788913471
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1492788915795
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492788917059
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492788928729
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492788930243
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492788932753
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492788933657
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492789025468
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492789032066
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492789055264
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492789056590
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492789069299
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1492789069314
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492789084353
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492789089750
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492789089797
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492789090905
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492789090951
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492789091794
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1492789093525
