what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1492544496545
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1492544504069
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1492544506614
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492544507630
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1492544507661
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1492544507880
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492544509239
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1492544512930
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1492544518328
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492544532073
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492544590471
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492544632880
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492544633881
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.cleanAction",1492544633896
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492544634193
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492544637374
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1492544654258
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1492544659162
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1492544661980
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1492544663416
closed,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1492544663416
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1492544664634
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1492544666553
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492544686238
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492544690653
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1492544691371
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492544698192
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492544821993
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492544824759
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492544859453
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492544863774
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492544886685
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1492544886732
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492544889259
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492544891708
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492544898325
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492544900748
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1492544901933
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1492544902120
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492544905539
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492544956171
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1492544959464
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1492544960119
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492544960587
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492545741973
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1492545743674
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492545745452
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492545806159
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1492545810995
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492545820966
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492545826583
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1492545826598
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1492545827472
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1492545828548
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1492545831503
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492545834765
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492545835841
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.cleanAction",1492545835873
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492545836185
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492545838462
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1492545845638
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1492545848901
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1492545849072
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1492545854844
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1492545854844
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492545881372
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492545883634
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492545883806
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492545888767
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1492545905339
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1492545906212
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1492545908318
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1492545911766
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1492545913903
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1492545921749
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1492545921842
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492545928138
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492545931945
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1492545933567
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1492545935845
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1492545937389
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1492545937389
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1492545939246
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1492545942381
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492545947280
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492545948855
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492545953463
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492545959144
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1492545964229
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1492545967037
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1492545977382
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492545985315
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492545988045
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492545992101
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492545994660
