what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1492705007894
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492705008440
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492705034378
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1492705034394
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492705039323
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492705083743
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492705089546
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492705102244
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492705102307
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492705103526
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492705104962
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492705108006
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492705108614
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492705119963
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492705128137
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492705137061
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492705142307
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492705144335
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492705146354
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492705159483
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492705159545
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492705160949
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1492705163710
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492705166035
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492705187167
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492705239145
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492705259791
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1492705261585
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1492705266465
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492705267323
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492705294505
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1492705299468
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492705301030
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492705304275
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492705305695
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492705312008
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492705313989
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492705318591
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492705318654
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492705320026
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492705321352
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492705325752
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492705327081
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492705361405
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1492705362699
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1492705371117
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.navigate.linkWithEditor",1492705371195
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1492705383316
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1492705387840
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492705391456
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492705429647
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492705429709
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492705430817
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492705432049
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492705469997
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492705470075
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492705471292
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492705472712
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492705507729
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492705509430
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492705512986
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492705518433
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492705538216
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492705548076
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492705554628
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492705560262
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492705590800
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492705590862
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492705592095
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492705593608
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492705606328
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1492705611367
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1492705613504
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1492705615753
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1492705615831
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1492705615831
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1492705617282
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492705618719
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492705656511
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492705656573
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492705657837
