what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492781608093
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492781636906
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1492781638731
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1492781639324
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1492781640244
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1492781663956
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1492781664955
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492781669198
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492781681881
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1492781684377
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1492781685126
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1492781685999
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1492781688526
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1492781691241
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492781694127
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492781753547
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1492781754436
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492781755154
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1492781755903
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492781757697
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1492781757759
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1492781757822
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.navigate.openResource",1492781757822
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492781775481
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492782946819
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492782950360
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492782953839
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1492782957629
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1492782960500
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492782965835
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492785566243
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492785575963
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492785578581
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1492785579436
