what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1492709241733
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1492709243801
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492709245392
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492709250385
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492709252633
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492709255933
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1492709257820
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1492709260036
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492709260644
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492709271576
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1492709275585
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1492709277005
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492709278144
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492709283638
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492709284777
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1492709284824
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1492709284949
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492709286395
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492709286950
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492709292289
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1492709295648
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1492709297835
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492709299270
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492709303576
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492709305432
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1492709305479
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1492709305557
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492709307017
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492709307712
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492709316978
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1492709320255
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1492709321893
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492709328106
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492709333925
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492709335142
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1492709335173
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1492709335267
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492709346028
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492709349196
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492709354564
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1492709358652
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1492709360090
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492709362508
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492709370345
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492709371453
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1492709371499
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1492709371609
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492709378281
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492709378631
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492709379863
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1492709394059
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492709394542
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492709406930
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1492709408287
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1492709408880
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492709409223
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492709432545
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1492709434277
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1492709434745
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1492709434792
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1492709434807
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1492709434839
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1492709434885
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1492709434917
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1492709434948
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1492709434979
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1492709435023
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1492709435039
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1492709435070
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1492709435101
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1492709435148
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1492709435179
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1492709435210
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1492709435242
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1492709435279
