what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492714632851
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492714633365
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492714634551
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492714639637
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492714658736
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492714658783
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492714660109
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492714665054
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1492714666209
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492714694856
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.rename",1492714694872
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1492714697243
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1492714697321
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492714703109
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492714704887
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492714707000
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492714715197
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492714715774
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492714797926
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1492714799096
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1492714801686
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1492714813462
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1492714813524
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1492714817239
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1492714827170
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1492714827248
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1492714829057
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1492714829057
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1492714834424
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1492714849406
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1492714851371
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1492714851371
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1492714852245
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1492714855958
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1492714855958
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1492714856675
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1492714861745
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492714863149
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492714962282
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1492714976843
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1492714983910
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1492714990400
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492715002443
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492715024291
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1492715024369
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1492715026787
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492715028394
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492715038322
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492715041989
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492715042472
