what,kind,bundleId,bundleVersion,description,time
java.runtime.version,sysinfo,,,"1.6.0_11-b03",1493251878500
java.specification.name,sysinfo,,,"Java Platform API Specification",1493251878500
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1493251878500
java.specification.version,sysinfo,,,"1.6",1493251878500
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1493251878500
java.version,sysinfo,,,"1.6.0_11",1493251878500
java.vm.info,sysinfo,,,"mixed mode",1493251878500
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1493251878500
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1493251878500
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1493251878500
java.vm.specification.version,sysinfo,,,"1.0",1493251878500
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1493251878500
java.vm.version,sysinfo,,,"11.0-b16",1493251878500
started,bundle,org.eclipse.wst.dtd.core,1.1.501.v201107252021,"org.eclipse.wst.dtd.core",1493251878828
started,bundle,org.eclipse.xsd,2.7.1.v20120130-0943,"org.eclipse.xsd",1493251878875
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineStart",1493251879015
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1493251879811
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1493251880154
started,bundle,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui",1493251882463
started,bundle,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.ui",1493251882463
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1493251882478
started,bundle,org.eclipse.jst.jsf.common,1.2.3.v201104061039,"org.eclipse.jst.jsf.common",1493251882478
started,bundle,org.eclipse.jst.jsf.core,1.3.105.v201108261005,"org.eclipse.jst.jsf.core",1493251882478
started,bundle,org.eclipse.jst.jsp.core,1.2.402.v201112071853,"org.eclipse.jst.jsp.core",1493251882494
started,bundle,org.eclipse.php.core,3.0.1.v201201110400,"org.eclipse.php.core",1493251882509
started,bundle,org.eclipse.wst.wsdl.validation,1.1.502.v201104071820,"org.eclipse.wst.wsdl.validation",1493251882525
started,bundle,org.eclipse.wst.xsd.core,1.1.600.v201104070312,"org.eclipse.wst.xsd.core",1493251882541
started,bundle,org.eclipse.wst.xsl.core,1.1.100.v201102270516,"org.eclipse.wst.xsl.core",1493251882541
started,bundle,org.eclipse.jst.jsf.ui,1.3.2.v201104251204,"org.eclipse.jst.jsf.ui",1493251882556
started,bundle,org.eclipse.wst.wsi.ui,1.0.502.v201104071820,"org.eclipse.wst.wsi.ui",1493251882556
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1493251883804
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1493251884522
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1493251887829
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1493251973532
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1493251988152
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1493251988308
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1493251995127
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1493251995503
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1493251995519
started,bundle,org.eclipse.mylyn.java.tasks,3.8.4.v20130429-0100,"org.eclipse.mylyn.java.tasks",1493251995550
started,bundle,org.tigris.subversion.clientadapter.javahl,1.7.10,"org.tigris.subversion.clientadapter.javahl",1493251995613
started,bundle,org.tigris.subversion.clientadapter.svnkit,1.7.9.2,"org.tigris.subversion.clientadapter.svnkit",1493251995644
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1493251996361
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1493251997391
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1493252027195
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1493252027803
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1493252034458
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1493252035675
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1493252036611
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1493252037438
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1493252051274
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1493252051289
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1493252052459
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.300.v201108240515,"org.eclipse.wst.ws.service.policy.ui",1493252054175
started,bundle,org.eclipse.wst.ws.service.policy,1.0.303.v201009221810,"org.eclipse.wst.ws.service.policy",1493252054175
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1493252054175
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1493252054175
started,bundle,org.eclipse.dltk.validators.ui,3.0.0.v20110423,"org.eclipse.dltk.validators.ui",1493252054503
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1493252055829
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1493252082704
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1493252082719
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1493252082719
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1493252083905
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1493252088844
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.garbagecollector",1493252178580
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1493252314171
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1493252315341
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1493252317306
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1493252320801
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1493252321628
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1493252321659
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1493252323314
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1493263396383
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1493263426871
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1493263535079
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1493263540453
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1493264133017
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1493264135722
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1493265133763
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1493265143335
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1493265154349
