what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1492801650668
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1492801650856
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1492801651012
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1492801651168
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1492801651840
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1492801658985
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492801660951
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.show.outline",1492801660982
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492801664761
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492801675311
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.show.outline",1492801675358
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492801678868
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1492801681317
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1492801688573
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1492801690086
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1492801692896
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1492801708174
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492801710467
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492801720531
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.textStart",1492801721452
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492801721920
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1492801721935
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492801725913
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492801737924
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492801752355
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492801758902
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1492801769562
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1492801771856
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1492801771996
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineEnd",1492801775772
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1492801776740
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1492801778505
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1492801784477
