what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.html.core,1.1.502.v201202091936,"org.eclipse.wst.html.core",1493250849596
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1493250849721
started,bundle,org.eclipse.wst.css.core,1.1.501.v201111292150,"org.eclipse.wst.css.core",1493250855543
started,bundle,org.eclipse.jst.jsf.facelet.core,1.0.100.v201104191527,"org.eclipse.jst.jsf.facelet.core",1493250857134
started,bundle,org.eclipse.jst.jsf.common.runtime,1.1.0.v20100510,"org.eclipse.jst.jsf.common.runtime",1493250857227
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1493250858744
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.300.v201108240515,"org.eclipse.wst.ws.service.policy.ui",1493250859555
started,bundle,org.eclipse.wst.ws.service.policy,1.0.303.v201009221810,"org.eclipse.wst.ws.service.policy",1493250859570
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1493250859726
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1493250859726
started,bundle,org.eclipse.dltk.validators.ui,3.0.0.v20110423,"org.eclipse.dltk.validators.ui",1493250860179
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1493250866086
started,bundle,org.eclipse.jst.jsf.facesconfig,1.2.2.v201105031140,"org.eclipse.jst.jsf.facesconfig",1493250874536
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1493250932265
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1493250932296
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1493250932296
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1493250933857
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.garbagecollector",1493250999222
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1493251008428
started,bundle,org.eclipse.php.debug.ui,3.0.1.v201201110400,"org.eclipse.php.debug.ui",1493251008709
started,bundle,org.eclipse.php.server.ui,3.0.1.v201201110400,"org.eclipse.php.server.ui",1493251008740
started,bundle,org.eclipse.php.server.core,3.0.1.v201201110400,"org.eclipse.php.server.core",1493251008756
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1493251013613
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1493251015173
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1493251021706
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1493251021878
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1493251022034
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1493251022767
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1493251042579
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1493251042595
started,bundle,org.eclipse.php.debug.daemon,3.0.1.v201201110400,"org.eclipse.php.debug.daemon",1493251043704
started,bundle,org.eclipse.php.debug.core,3.0.1.v201201110400,"org.eclipse.php.debug.core",1493251043750
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1493251044281
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1493251085586
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1493251087271
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1493251090381
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1493251112619
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1493251114602
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1493251115445
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1493251116911
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1493251117332
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.renameResource",1493251117348
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.rename",1493251117348
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1493251117800
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1493251133636
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1493251134322
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1493251171314
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1493251177089
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1493251180242
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1493251183862
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1493251184408
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1493251353171
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1493251372841
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1493251381845
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1493251400333
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1493251402127
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1493251404768
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1493251408668
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1493251462980
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1493251465732
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1493251466653
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1493251466809
stopped,bundle,org.eclipse.jpt.dbws.eclipselink.ui,1.0.0.v201104110000,"org.eclipse.jpt.dbws.eclipselink.ui",1493251467417
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1493251467417
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1493251467417
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1493251467417
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.104.v201004211805,"org.eclipse.jst.ws.axis2.creation.ui",1493251467433
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.103.v201004211805,"org.eclipse.jst.ws.axis2.consumption.ui",1493251467433
stopped,bundle,org.eclipse.jst.ws.axis2.creation.core,1.0.106.v201004211805,"org.eclipse.jst.ws.axis2.creation.core",1493251467433
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.core,1.0.105.v201004211805,"org.eclipse.jst.ws.axis2.consumption.core",1493251467433
stopped,bundle,org.eclipse.jst.ws.axis2.ui,1.0.303.v201003110431,"org.eclipse.jst.ws.axis2.ui",1493251467433
stopped,bundle,org.eclipse.jst.ws.axis2.core,1.0.204.v201004211805,"org.eclipse.jst.ws.axis2.core",1493251467433
stopped,bundle,org.eclipse.jst.ws.cxf.creation.ui,1.0.100.v201104022153,"org.eclipse.jst.ws.cxf.creation.ui",1493251467433
stopped,bundle,org.eclipse.jst.ws.creation.ui,1.0.609.v201103082016,"org.eclipse.jst.ws.creation.ui",1493251467433
stopped,bundle,org.eclipse.jst.ws.cxf.consumption.ui,1.0.0.v201003222311,"org.eclipse.jst.ws.cxf.consumption.ui",1493251467433
stopped,bundle,org.eclipse.jst.ws.consumption.ui,1.1.402.v201201250306,"org.eclipse.jst.ws.consumption.ui",1493251467433
stopped,bundle,org.eclipse.jst.ws.consumption,1.0.603.v201202012024,"org.eclipse.jst.ws.consumption",1493251467433
stopped,bundle,org.eclipse.jst.ws.cxf.consumption.core,1.0.0.v201003222311,"org.eclipse.jst.ws.cxf.consumption.core",1493251467433
stopped,bundle,org.eclipse.jst.ws.cxf.creation.core,1.0.100.v201104022153,"org.eclipse.jst.ws.cxf.creation.core",1493251467433
stopped,bundle,org.eclipse.jst.ws.cxf.ui,1.0.0.v201004171919,"org.eclipse.jst.ws.cxf.ui",1493251467433
